Algoritm,Yuklama ssenariysi,Takrorlashlar soni,ART o'rtacha (s),ART std,TH o'rtacha (so'rov/s),TH std,LBI o'rtacha,LBI std,SLA o'rtacha (%),SLA std,RU o'rtacha (%),RU std,T_inf o'rtacha (ms),T_inf std (ms),RRR o'rtacha (%),RRR std,DQ o'rtacha,DQ std,INT o'rtacha,INT std
Round Robin,low,30,0.42985,0.04446,0.301,0.009,0.07169,0.02703,3.8,4.037,62.083,3.354,0.0007,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
Round Robin,high,30,0.47968,0.05784,0.897,0.029,0.06212,0.02592,1.587,1.192,63.069,3.556,0.0009,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
Round Robin,bursty,30,0.4796,0.06988,1.126,0.057,0.05991,0.02981,1.817,1.414,63.342,3.97,0.0009,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
Round Robin,skewed,30,0.48014,0.05616,0.601,0.02,0.06329,0.02922,1.64,1.246,62.941,3.793,0.0008,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
Least Connections,low,30,0.41234,0.02547,0.301,0.009,0.13077,0.02729,1.687,2.279,54.89,4.086,0.0029,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
Least Connections,high,30,0.46434,0.05782,0.897,0.029,0.13377,0.04977,1.03,1.185,55.782,5.062,0.0034,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
Least Connections,bursty,30,0.45473,0.05746,1.126,0.057,0.12321,0.04723,1.053,1.176,55.173,5.968,0.0034,0.0014,0.0,0.0,0.0,0.0,0.0,0.0
Least Connections,skewed,30,0.44219,0.04137,0.601,0.02,0.13168,0.04282,0.583,0.673,53.967,4.482,0.0035,0.0017,0.0,0.0,0.0,0.0,0.0,0.0
Least Load,low,30,0.39011,0.02906,0.301,0.009,0.0313,0.01286,1.41,1.989,64.713,2.743,0.0034,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
Least Load,high,30,0.44343,0.04719,0.897,0.029,0.03122,0.01267,0.927,0.733,65.84,2.174,0.0039,0.001,0.0,0.0,0.0,0.0,0.0,0.0
Least Load,bursty,30,0.43487,0.05705,1.126,0.057,0.02895,0.00979,0.887,0.881,65.157,2.915,0.0038,0.001,0.0,0.0,0.0,0.0,0.0,0.0
Least Load,skewed,30,0.43005,0.04382,0.601,0.02,0.03485,0.01793,0.61,0.584,64.384,3.087,0.0037,0.0014,0.0,0.0,0.0,0.0,0.0,0.0
FLB,low,30,0.39919,0.03378,0.301,0.009,0.02872,0.01139,1.87,2.428,64.937,2.914,0.3997,0.0409,0.0,0.0,0.4503,0.0247,0.0,0.0
FLB,high,30,0.44703,0.04515,0.897,0.029,0.02662,0.01147,1.39,1.107,66.228,2.768,0.4543,0.0952,0.0,0.0,0.4333,0.0229,0.0,0.0
FLB,bursty,30,0.43952,0.05991,1.126,0.057,0.02678,0.01138,1.443,1.23,65.659,3.281,0.4475,0.1309,0.0,0.0,0.4348,0.0245,0.0,0.0
FLB,skewed,30,0.44078,0.04516,0.601,0.02,0.02454,0.0111,1.217,1.244,66.272,2.634,0.4421,0.1337,0.0,0.0,0.4318,0.0211,0.0,0.0
GA-FLB,low,30,0.39356,0.03102,0.301,0.009,0.04565,0.01357,1.413,1.981,63.532,2.718,0.2934,0.0513,82.22,3.75,0.3073,0.0861,0.8222,0.0375
GA-FLB,high,30,0.43688,0.04185,0.897,0.029,0.04729,0.01536,0.837,0.773,64.309,2.415,0.3248,0.0737,80.49,5.49,0.3013,0.0945,0.8049,0.0549
GA-FLB,bursty,30,0.43001,0.05494,1.126,0.057,0.04864,0.01077,1.04,1.086,63.125,2.453,0.3034,0.0651,81.23,5.23,0.322,0.1314,0.8123,0.0523
GA-FLB,skewed,30,0.43031,0.04081,0.601,0.02,0.04785,0.01624,0.71,0.76,63.196,3.004,0.3079,0.0536,80.0,4.34,0.3686,0.1177,0.8,0.0434
PSO-FLB,low,30,0.39275,0.02957,0.301,0.009,0.04276,0.01342,1.467,1.975,63.563,2.771,0.3008,0.0353,77.04,4.82,0.3706,0.1145,0.7704,0.0482
PSO-FLB,high,30,0.43916,0.04377,0.897,0.029,0.04481,0.01534,0.91,0.83,64.641,2.044,0.3388,0.0893,75.68,6.53,0.3269,0.1027,0.7568,0.0653
PSO-FLB,bursty,30,0.43325,0.05533,1.126,0.057,0.04277,0.01498,1.193,1.251,63.496,2.666,0.3285,0.0782,75.68,6.87,0.3538,0.1294,0.7568,0.0687
PSO-FLB,skewed,30,0.43179,0.04014,0.601,0.02,0.04105,0.01832,0.857,0.956,63.781,2.532,0.3192,0.069,75.93,6.03,0.3477,0.1057,0.7593,0.0603
QF-Grover,low,30,0.39575,0.03469,0.301,0.009,0.0407,0.01849,1.637,2.561,64.265,2.672,0.3085,0.0399,67.16,11.97,0.3572,0.0917,0.6716,0.1197
QF-Grover,high,30,0.44447,0.0473,0.897,0.029,0.03848,0.01932,1.093,1.055,65.477,2.108,0.3447,0.0619,64.57,10.2,0.3673,0.0924,0.6457,0.102
QF-Grover,bursty,30,0.43629,0.05917,1.126,0.057,0.03393,0.01627,1.413,1.27,64.441,2.97,0.3459,0.1147,65.8,10.15,0.3619,0.093,0.658,0.1015
QF-Grover,skewed,30,0.43731,0.03998,0.601,0.02,0.03362,0.01858,1.053,0.955,64.984,3.115,0.3493,0.1014,61.23,7.07,0.3852,0.0725,0.6123,0.0707
