Algoritm,Yuklama ssenariysi,Takrorlash №,O'rtacha javob vaqti ART (s),O'tkazuvchanlik TH (so'rov/s),Yuk muvozanati LBI,SLA buzilishi (%),Resurs foydalanishi RU (%),Inferensiya vaqti T_inf (ms),Qoidalar qisqarishi RRR (%),Oracle chaqiriqlari,Qaror sifati DQ,Izohlanuvchanlik INT,Jami so'rovlar,Muvaffaqiyatli so'rovlar,Muvaffaqiyatsiz so'rovlar,Faol qoidalar K,Jami qoidalar N,Simulyatsiya vaqti (s)
Round Robin,low,0,0.57898,0.285,0.04664,18.0,67.026,0.0006,0.0,0,0.0,0.0,1000,1000,0,0,0,3513.4493
Round Robin,low,1,0.40119,0.3,0.08118,0.8,63.346,0.0008,0.0,0,0.0,0.0,1000,1000,0,0,0,3335.4833
Round Robin,low,2,0.40158,0.292,0.03779,0.8,65.724,0.0007,0.0,0,0.0,0.0,1000,1000,0,0,0,3424.2751
Round Robin,low,3,0.36231,0.313,0.06108,0.5,65.275,0.0011,0.0,0,0.0,0.0,1000,1000,0,0,0,3193.7366
Round Robin,low,4,0.42842,0.29,0.05897,1.6,62.093,0.0007,0.0,0,0.0,0.0,1000,1000,0,0,0,3449.326
Round Robin,low,5,0.3885,0.288,0.06936,1.0,60.448,0.0007,0.0,0,0.0,0.0,1000,1000,0,0,0,3469.6059
Round Robin,low,6,0.40836,0.303,0.10377,1.3,61.961,0.0006,0.0,0,0.0,0.0,1000,1000,0,0,0,3303.812
Round Robin,low,7,0.42324,0.31,0.04375,2.9,64.075,0.0007,0.0,0,0.0,0.0,1000,1000,0,0,0,3221.2385
Round Robin,low,8,0.41862,0.299,0.07052,4.0,64.186,0.0007,0.0,0,0.0,0.0,1000,1000,0,0,0,3345.1659
Round Robin,low,9,0.43828,0.319,0.07819,6.1,54.043,0.0007,0.0,0,0.0,0.0,1000,1000,0,0,0,3129.9944
Round Robin,low,10,0.43818,0.303,0.08943,4.0,61.343,0.0007,0.0,0,0.0,0.0,1000,1000,0,0,0,3303.4505
Round Robin,low,11,0.44148,0.311,0.05737,3.4,61.846,0.0007,0.0,0,0.0,0.0,1000,1000,0,0,0,3211.0816
Round Robin,low,12,0.40004,0.295,0.08615,0.6,59.654,0.0007,0.0,0,0.0,0.0,1000,1000,0,0,0,3385.2954
Round Robin,low,13,0.41569,0.303,0.09578,2.5,62.015,0.0007,0.0,0,0.0,0.0,1000,1000,0,0,0,3300.4607
